央视频道,#genre#
CCTV1,http://media.lzqp.com:4022/rtp/239.81.0.102:4056$广西电信
CCTV2,http://media.lzqp.com:4022/rtp/239.81.0.115:4056$广西电信
CCTV3,http://media.lzqp.com:4022/rtp/239.81.0.231:4056$广西电信
CCTV4,http://media.lzqp.com:4022/rtp/239.81.0.96:4056$广西电信
CCTV5,http://media.lzqp.com:4022/rtp/239.81.0.232:4056$广西电信
CCTV5+,http://media.lzqp.com:4022/rtp/239.81.0.101:4056$广西电信
CCTV6,http://media.lzqp.com:4022/rtp/239.81.0.233:4056$广西电信
CCTV7,http://media.lzqp.com:4022/rtp/239.81.0.116:4056$广西电信
CCTV8,http://media.lzqp.com:4022/rtp/239.81.0.234:4056$广西电信
CCTV9,http://media.lzqp.com:4022/rtp/239.81.0.117:4056$广西电信
CCTV10,http://media.lzqp.com:4022/rtp/239.81.0.118:4056$广西电信
CCTV11,http://media.lzqp.com:4022/rtp/239.81.0.229:4056$广西电信
CCTV12,http://media.lzqp.com:4022/rtp/239.81.0.119:4056$广西电信
CCTV13,http://media.lzqp.com:4022/rtp/239.81.0.206:4056$广西电信
CCTV14,http://media.lzqp.com:4022/rtp/239.81.0.120:4056$广西电信
CCTV15,http://media.lzqp.com:4022/rtp/239.81.0.230:4056$广西电信
CCTV16,http://media.lzqp.com:4022/rtp/239.81.0.142:4056$广西电信
CCTV16,http://media.lzqp.com:4022/rtp/239.81.0.144:4056$广西电信
CCTV17,http://media.lzqp.com:4022/rtp/239.81.0.228:4056$广西电信
CCTV4K,http://media.lzqp.com:4022/rtp/239.81.0.196:4056$广西电信
CCTV1,http://171.8.84.159:8800/rtp/239.16.20.1:10010$河南电信
CCTV5+,http://171.8.84.159:8800/rtp/239.16.20.5:10050$河南电信
CCTV12,http://171.8.84.159:8800/rtp/239.16.20.12:10120$河南电信
国学频道,http://171.8.84.159:8800/rtp/239.16.20.232:12320$河南电信

卫视频道,#genre#
湖南卫视,http://media.lzqp.com:4022/rtp/239.81.0.110:4056$广西电信
浙江卫视,http://media.lzqp.com:4022/rtp/239.81.0.108:4056$广西电信
江苏卫视,http://media.lzqp.com:4022/rtp/239.81.0.106:4056$广西电信
东方卫视,http://media.lzqp.com:4022/rtp/239.81.0.111:4056$广西电信
北京卫视,http://media.lzqp.com:4022/rtp/239.81.0.109:4056$广西电信
广东卫视,http://media.lzqp.com:4022/rtp/239.81.0.104:4056$广西电信
广西卫视,http://media.lzqp.com:4022/rtp/239.81.0.107:4056$广西电信
东南卫视,http://media.lzqp.com:4022/rtp/239.81.0.215:4056$广西电信
海南卫视,http://media.lzqp.com:4022/rtp/239.81.0.199:4056$广西电信
河北卫视,http://media.lzqp.com:4022/rtp/239.81.0.94:4056$广西电信
河南卫视,http://media.lzqp.com:4022/rtp/239.81.0.220:4056$广西电信
湖北卫视,http://media.lzqp.com:4022/rtp/239.81.0.112:4056$广西电信
江西卫视,http://media.lzqp.com:4022/rtp/239.81.0.204:4056$广西电信
四川卫视,http://media.lzqp.com:4022/rtp/239.81.0.130:4056$广西电信
贵州卫视,http://media.lzqp.com:4022/rtp/239.81.0.95:4056$广西电信
天津卫视,http://media.lzqp.com:4022/rtp/239.81.0.113:4056$广西电信
安徽卫视,http://media.lzqp.com:4022/rtp/239.81.0.211:4056$广西电信
山东卫视,http://media.lzqp.com:4022/rtp/239.81.0.114:4056$广西电信
辽宁卫视,http://media.lzqp.com:4022/rtp/239.81.0.210:4056$广西电信
黑龙江卫视,http://media.lzqp.com:4022/rtp/239.81.0.105:4056$广西电信
吉林卫视,http://media.lzqp.com:4022/rtp/239.81.0.143:4056$广西电信
宁夏卫视,http://media.lzqp.com:4022/rtp/239.81.0.200:4056$广西电信
甘肃卫视,http://media.lzqp.com:4022/rtp/239.81.0.207:4056$广西电信
新疆卫视,http://media.lzqp.com:4022/rtp/239.81.0.122:4056$广西电信
西藏卫视,http://media.lzqp.com:4022/rtp/239.81.0.90:4056$广西电信
兵团卫视,http://media.lzqp.com:4022/rtp/239.81.0.223:4056$广西电信
山东教育卫视,http://media.lzqp.com:4022/rtp/239.81.0.93:4056$广西电信
中国教育1台,http://media.lzqp.com:4022/rtp/239.81.0.92:4056$广西电信
中国教育2台,http://media.lzqp.com:4022/rtp/239.81.0.245:4056$广西电信
中国教育4台,http://media.lzqp.com:4022/rtp/239.81.0.188:4056$广西电信
湖南卫视,http://171.8.84.159:8800/rtp/239.16.20.72:10720$河南电信
浙江卫视,http://171.8.84.159:8800/rtp/239.16.20.71:10710$河南电信
江苏卫视,http://171.8.84.159:8800/rtp/239.16.20.74:10740$河南电信
东方卫视,http://171.8.84.159:8800/rtp/239.16.20.73:10730$河南电信
深圳卫视,http://171.8.84.159:8800/rtp/239.16.20.77:10770$河南电信
北京卫视,http://171.8.84.159:8800/rtp/239.16.20.76:10760$河南电信
广东卫视,http://171.8.84.159:8800/rtp/239.16.20.98:10980$河南电信
广西卫视,http://171.8.84.159:8800/rtp/239.16.20.84:10840$河南电信
东南卫视,http://171.8.84.159:8800/rtp/239.16.20.82:10820$河南电信
海南卫视,http://171.8.84.159:8800/rtp/239.16.20.97:10970$河南电信
河北卫视,http://171.8.84.159:8800/rtp/239.16.20.88:10880$河南电信
河南卫视,http://171.8.84.159:8800/rtp/239.16.20.21:10210$河南电信
湖北卫视,http://171.8.84.159:8800/rtp/239.16.20.87:10870$河南电信
江西卫视,http://171.8.84.159:8800/rtp/239.16.20.89:10890$河南电信
四川卫视,http://171.8.84.159:8800/rtp/239.16.20.86:10860$河南电信
重庆卫视,http://171.8.84.159:8800/rtp/239.16.20.79:10790$河南电信
贵州卫视,http://171.8.84.159:8800/rtp/239.16.20.81:10810$河南电信
云南卫视,http://171.8.84.159:8800/rtp/239.16.20.85:10850$河南电信
天津卫视,http://171.8.84.159:8800/rtp/239.16.20.96:10960$河南电信
安徽卫视,http://171.8.84.159:8800/rtp/239.16.20.75:10750$河南电信
山东卫视,http://171.8.84.159:8800/rtp/239.16.20.80:10800$河南电信
辽宁卫视,http://171.8.84.159:8800/rtp/239.16.20.95:10950$河南电信
黑龙江卫视,http://171.8.84.159:8800/rtp/239.16.20.99:10990$河南电信
吉林卫视,http://171.8.84.159:8800/rtp/239.16.20.94:10940$河南电信
陕西卫视,http://171.8.84.159:8800/rtp/239.16.20.83:10830$河南电信
甘肃卫视,http://171.8.84.159:8800/rtp/239.16.20.102:11020$河南电信
青海卫视,http://171.8.84.159:8800/rtp/239.16.20.101:11010$河南电信
中国教育1台,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信

数字频道,#genre#
CHC动作电影,http://media.lzqp.com:4022/rtp/239.81.0.239:4056$广西电信
CHC家庭影院,http://media.lzqp.com:4022/rtp/239.81.0.238:4056$广西电信
CHC影迷电影,http://media.lzqp.com:4022/rtp/239.81.0.240:4056$广西电信
求索纪录,http://media.lzqp.com:4022/rtp/239.81.0.153:4056$广西电信
金鹰纪实,http://media.lzqp.com:4022/rtp/239.81.0.91:4056$广西电信
纪实科教,http://media.lzqp.com:4022/rtp/239.81.0.195:4056$广西电信
先锋乒羽,http://media.lzqp.com:4022/rtp/239.81.0.236:4056$广西电信
新动漫,http://media.lzqp.com:4022/rtp/239.81.0.235:4056$广西电信
金鹰卡通,http://media.lzqp.com:4022/rtp/239.81.0.148:4056$广西电信
嘉佳卡通,http://media.lzqp.com:4022/rtp/239.81.0.64:4056$广西电信
中国天气,http://media.lzqp.com:4022/rtp/239.81.0.63:4056$广西电信
金鹰纪实,http://171.8.84.159:8800/rtp/239.16.20.153:11530$河南电信
魅力足球,http://171.8.84.159:8800/rtp/239.16.20.113:11130$河南电信
快乐垂钓,http://171.8.84.159:8800/rtp/239.16.20.67:10670$河南电信
茶频道,http://171.8.84.159:8800/rtp/239.16.20.68:10680$河南电信
乐游,http://171.8.84.159:8800/rtp/239.16.20.111:11110$河南电信
生活时尚,http://171.8.84.159:8800/rtp/239.16.20.114:11140$河南电信
都市剧场,http://171.8.84.159:8800/rtp/239.16.20.38:10380$河南电信
欢笑剧场,http://171.8.84.159:8800/rtp/239.16.20.39:10390$河南电信
